time,choosen id,choosen location,charging_time,remaining energy,consume energy
19489,197,"(101, 110)",2117.143879331915,0.19996746100095775,4.105046636558913e-05
21636,65,"(107, 91)",17446.58372769125,0.19957004500117292,7.5649999999999996e-06
39086,86,"(95, 122)",190.8669529727378,0.19043458999611496,7.59e-06
39283,97,"(88, 130)",1644.242399018885,0.19972886749757918,7.5564999999999996e-06
40929,96,"(83, 136)",545.774250249933,0.19030487400005644,4.518299999999999e-05
41555,195,"(115, 114)",815.3018314536,0.199988173997032,1.8493117557251657e-05
42378,87,"(123, 124)",437.99561298231777,0.19790021999753776,1.5163999999999999e-05
42818,75,"(92, 104)",864.2652357484899,0.1998853599990453,0.0
43689,199,"(114, 84)",47.69415764656398,0.1995600770005436,1.5097999999999997e-05
43754,196,"(101, 79)",33.08409840017409,0.19999881999615743,1.8975000000000055e-05
43793,44,"(93, 69)",394.50826535146234,0.1999928519975394,2.177394871794874e-05
44208,64,"(71, 92)",242.28503913412618,0.19999031799563563,1.833989427312742e-05
44456,160,"(84, 97)",655.0958322851413,0.19986488449757928,1.5112999999999999e-05
45115,108,"(74, 147)",295.78856506009765,0.1999750319958062,1.8051467669171998e-05
45437,56,"(123, 78)",24.92315420348405,0.19999044949957143,1.718631055900603e-05
46909,33,"(90, 55)",263.2279911535695,0.19998843000190056,1.6957506793480134e-05
47198,184,"(128, 65)",1896.4016623178886,0.19997818499557118,1.6663809688581095e-05
49152,183,"(102, 50)",780.5390032565308,0.19999125149710875,1.6560845189355763e-05
49991,150,"(64, 99)",1671.0212537362138,0.19999400500055123,1.559275089392046e-05
51708,24,"(106, 39)",3576.3594341603543,0.1999995604963714,1.5298420209669705e-05
55306,159,"(112, 100)",630.6754858912205,0.19969260400064515,0.0
55948,56,"(123, 78)",960.9384979188676,0.199538883210777,3.0233999999999995e-05
57006,23,"(94, 30)",354.58841157844927,0.19999679999871994,1.3412465437788035e-05
57371,196,"(101, 79)",182.9207471326262,0.19982992210702868,0.0
57563,66,"(125, 95)",2718.4557905441084,0.1927690299955602,3.0387999999999994e-05
60287,100,"(136, 130)",629.0898957022893,0.1626918625018811,0.0
60969,67,"(130, 99)",61.855305382961845,0.19999825449565678,1.322804577968537e-05
61047,73,"(53, 108)",2590.1432389613205,0.19999552299578408,1.3483858974358984e-05
63830,199,"(114, 84)",255.24105420691646,0.19999522042341658,1.841244125044642e-05
64120,76,"(138, 109)",5764.119282188044,0.19999816599752895,1.1848696551724136e-05
69891,77,"(149, 103)",94.26560167579969,0.18316673300077288,0.0
70016,22,"(80, 28)",603.4899992113567,0.1999936000003686,1.042285714285712e-05
70639,12,"(84, 18)",3290.5092956218264,0.1974613279961882,7.5579999999999995e-06
73931,178,"(74, 9)",21.76842953497449,0.19212754250125644,1.5181e-05
73976,171,"(42, 105)",6110.816300362507,0.1999978550013267,8.138396226415104e-06
80107,72,"(32, 113)",4898.247366149793,0.19158292999751703,7.5819999999999996e-06
85007,11,"(65, 16)",383.3552965788919,0.13912903500121482,7.5649999999999996e-06
85410,169,"(61, 142)",2517.5473919044193,0.19995040299551856,1.5193999999999997e-05
88018,178,"(74, 9)",5242.455408968805,0.1999888457502931,1.1001797281777218e-05
