min E,p/e,len E,,
3.050265721,0.347768794,26,"(500, 400)",106.229035
,,,,
3.715234097,0.097073426,84,"(800, 800)",3565.364491
,,,,
2.983913026,0.494237832,18,"(500, 400)",57.62686495
,,,,
4.032185782,0.594200537,15,"(500, 600)",4786.509248
,,,,
3.325655529,0.507689108,21,"(500, 400)",449.9161971
,,,,
3.961172413,0.509614079,13,"(500, 600)",4766.573189
,,,,
3.630624785,0.508405066,17,"(500, 400)",451.972668
,,,,
4.160373156,0.730931912,4,"(500, 500)",20183.61547
,,,,
4.663626831,0.250571954,51,"(300, 300)",1164.763196
,,,,
8.462046312,0.144981599,63,"(200, 700)",254.6055588
,,,,
7.943034152,0.20251408,55,"(300, 700)",209.4981294
,,,,
4.236859084,0.535224561,19,"(500, 400)",249.4083855
,,,,
4.041318293,0.203950954,58,"(300, 700)",4.473902701
,,,,
3.991033031,0.574778369,20,"(500, 400)",32.37939393
,,,,
3.96727695,0.674108214,8,"(500, 500)",16.64587832
,,,,
3.961350953,0.585820044,21,"(500, 400)",11.49293215
,,,,
3.954223029,0.769803927,8,"(500, 500)",11.42851694
,,,,
4.001891983,0.171350444,55,"(300, 700)",622.2737654
,,,,
5.169920113,0.741994621,8,"(500, 500)",589.4239788
,,,,
4.755337169,0.547270174,20,"(500, 400)",232.4354707
,,,,
4.895750926,0.716679359,8,"(500, 500)",5552.135335
,,,,
3.99986021,0.541727339,19,"(500, 400)",13891.55888
,,,,
4.526988593,0.827635524,10,"(500, 500)",1895.664625
,,,,
6.618992831,0.452325269,31,"(300, 500)",2642.847427
,,,,
4.410386903,0.543385541,19,"(500, 400)",240.3912621
,,,,
4.281053048,0.713914596,8,"(500, 500)",302.6082455
,,,,
4.162345752,0.546239038,19,"(500, 400)",231.984254
,,,,
4.335232498,0.571544307,11,"(500, 600)",99.92138481
,,,,
4.044191444,0.564981666,17,"(500, 400)",239.45629
,,,,
4.742839701,0.575158261,11,"(500, 600)",98.40432625
,,,,
4.544234319,0.566572924,17,"(500, 400)",91.60089707
,,,,
4.984731105,0.554314593,15,"(500, 600)",13875.72575
,,,,
4.123737329,0.620097263,16,"(500, 400)",519.8435399
,,,,
4.030746727,0.25014612,56,"(300, 300)",3.209801296
,,,,
3.986605716,0.688127219,13,"(500, 600)",322.4051895
,,,,
4.000901217,0.238798091,55,"(300, 300)",23.07442815
,,,,
4.011239753,0.539090686,18,"(500, 400)",247.6680061
,,,,
3.993677852,0.252165923,51,"(300, 300)",1889.667469
,,,,
3.917342077,0.502177241,20,"(500, 400)",270.3866737
,,,,
3.896729253,0.244996806,58,"(300, 300)",1042.928657
,,,,
3.854023556,0.361234169,17,"(500, 400)",2.15265836
,,,,
3.846703956,0.739980016,10,"(500, 500)",270.6302835
,,,,
3.843671877,0.361234169,18,"(500, 400)",3927.875154
,,,,
4.13886201,0.205318012,55,"(300, 700)",470.3905856
,,,,
3.997995146,0.662955806,6,"(500, 500)",1080.257126
,,,,
3.982035256,0.481645558,19,"(500, 400)",54.5136298
,,,,
4.000607551,0.150856159,64,"(200, 700)",5844.123489
,,,,
4.258993665,0.099456437,77,"(800, 800)",1235.488469
,,,,
4.79186325,0.608036231,18,"(500, 400)",6367.548673
,,,,
3.076321539,0.580355627,15,"(500, 600)",82.48928788
,,,,
3.985333477,0.416244446,30,"(300, 500)",151.0158918
,,,,
8.037691313,0.564937087,12,"(500, 600)",3491.812084
,,,,
5.137625756,0.425519406,31,"(300, 500)",156.5172316
,,,,
5.91953739,0.570285512,11,"(500, 600)",2170.306525
,,,,
4.659663248,0.41831973,31,"(300, 500)",119.7662399
,,,,
4.039597582,0.551652715,19,"(500, 400)",241.246562
,,,,
4.420150341,0.423802497,31,"(300, 500)",156.231988
,,,,
4.581396234,0.536207499,19,"(500, 400)",240.3437157
,,,,
3.99993934,0.419737808,31,"(300, 500)",179.1571706
,,,,
4.585910965,0.550845362,21,"(500, 400)",319.5764756
,,,,
3.999983235,0.421943581,31,"(300, 500)",1303.562775
,,,,
4.273883587,0.588160188,17,"(500, 400)",264.0118164
,,,,
4.234909943,0.191683924,56,"(800, 400)",1650.660227
,,,,
4.154928057,0.535402008,22,"(500, 400)",439.8580771
,,,,
4.311788267,0.19078293,48,"(700, 700)",1196.990178
,,,,
5.969103603,0.750286265,5,"(500, 500)",524.1930445
,,,,
4.939753357,0.544717104,19,"(500, 400)",232.2246765
,,,,
5.389996115,0.725402666,8,"(500, 500)",284.2114315
,,,,
4.510176265,0.529293367,19,"(500, 400)",231.5623724
,,,,
4.346848134,0.552162187,12,"(500, 600)",229.2885054
,,,,
3.998981734,0.398138764,32,"(300, 500)",1241.500372
,,,,
4.106718962,0.593462521,15,"(500, 400)",481.3974236
,,,,
5.423153652,0.536264625,19,"(500, 400)",267.2598865
,,,,
7.91045968,0.728408455,8,"(500, 500)",557.5431418
,,,,
5.197489566,0.536724279,19,"(500, 400)",231.378724
,,,,
7.006801597,0.722745299,6,"(500, 500)",4158.851129
,,,,
5.563830475,0.419636597,31,"(300, 500)",156.0785046
,,,,
6.347285969,0.545123276,12,"(400, 500)",3826.552933
,,,,
4.069460758,0.539021029,19,"(500, 400)",268.4593661
,,,,
4.99581951,0.57726293,9,"(500, 600)",106.5920983
,,,,
4.469032602,0.538280684,19,"(500, 400)",3250.185041
,,,,
4.994792792,0.610242249,10,"(500, 600)",137.9381943
,,,,
3.999974765,0.555846788,18,"(500, 400)",9897.155466
,,,,
